"행정구역(시군구)별",1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
"행정구역(시군구)별",남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명),남자인구수 (명),여자인구수 (명)
"서울특별시",5500001,5435229,5477845,5411654,5408827,5350627,5302277,5248594,5231039,5187037,5186530,5149604,5146825,5123681,5141141,5123119,5166605,5144709,5141741,5121595,5108964,5098331,5084908,5089178,5074686,5098476,5062492,5104852,5062107,5119059,5063188,5129522,5061809,5139018,5059269,5149033,5111259,5201286,5073899,5175780,5041336,5153982,5007869,5135776,4979768,5123465,4930943,5091238,4876789,5053827,4830206,5027220,4773899,4991724,4744059,4985048
"부산광역시",1941895,1940494,1931484,1931322,1920107,1919705,1941693,1942187,1932943,1934182,1924904,1926408,1914196,1914902,1908068,1909202,1897050,1899456,1883524,1887012,1862520,1867605,1842405,1849040,1828634,1837711,1812599,1825694,1798940,1813052,1785903,1801536,1773154,1791423,1761202,1781828,1773170,1794740,1762848,1788115,1754479,1784005,1747000,1780635,1740417,1778984,1735570,1778207,1725607,1772922,1709508,1761145,1692421,1749032,1675417,1738424
"대구광역시",1144792,1139399,1160365,1151801,1176372,1166308,1246728,1231861,1247132,1233213,1250442,1237904,1253073,1240367,1259384,1246326,1268348,1255905,1268488,1256621,1268530,1257273,1269880,1259664,1266254,1258458,1259092,1252214,1250849,1245266,1248233,1245028,1246873,1245851,1243878,1245903,1255245,1256431,1251577,1255694,1249320,1256324,1246071,1255517,1241119,1252145,1237291,1250538,1234169,1250388,1227814,1247417,1219342,1242427,1205286,1232745
"인천광역시",1042541,1023325,1078845,1059581,1110814,1089955,1187620,1165453,1206978,1184846,1233907,1211706,1253485,1231714,1266057,1243029,1284769,1261000,1294400,1270198,1301499,1276490,1296989,1273205,1300343,1278474,1310759,1289736,1323375,1301016,1342975,1321601,1356473,1336223,1364809,1345770,1390356,1367940,1410980,1390294,1431593,1412388,1448835,1430947,1459074,1443534,1469869,1455946,1477671,1465398,1479597,1468945,1481844,1472798,1482249,1474777
"광주광역시",606776,617008,619159,629511,631353,641162,637914,647719,644872,655323,656596,667267,665166,674275,673853,682759,681570,690339,687267,696498,693937,703515,693149,702613,695479,705693,695687,706058,698664,709134,701561,711883,705817,716885,711091,722549,721780,732856,725606,737858,728406,740810,730216,742694,731339,744545,729662,742537,728137,741077,725295,738475,722581,736755,720740,735728
"대전광역시",572095,562748,599218,589821,620373,612450,636556,628525,651137,642623,663060,655152,674563,666850,685460,678086,695881,689725,704489,698675,712653,706920,718968,713328,724588,718883,729818,724820,735595,730563,739472,736187,741611,739284,743121,741059,753648,750016,759188,756415,763671,760912,767309,765502,766497,765312,759778,758997,757289,757081,750969,751258,744338,745598,736607,738263
"울산광역시",-,-,-,-,-,-,-,-,-,-,518930,490722,520696,494553,525098,499238,533559,506666,541907,513711,546847,518190,551084,521783,555660,525793,558866,528782,561611,530883,565897,534098,572815,539592,573607,541259,579071,547227,583825,551669,590424,556832,595319,561161,600904,565473,604889,568645,603797,568507,599480,565652,593819,561804,589712,558307
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57633,55484,62205,59948,78862,77263,105752,105132,121505,121543,139734,140366,156831,157295,169845,170730
